levels,algs,ratios,variable,times
16,zfp,2.14,PRECT,11
14,zfp,2.55,PRECTMX,0
14,zfp,2.55,PRECTMX,1
14,zfp,2.55,PRECTMX,2
14,zfp,2.55,PRECTMX,3
16,zfp,2.14,PRECTMX,4
16,zfp,2.14,PRECTMX,5
14,zfp,2.55,PRECTMX,6
16,zfp,2.14,PRECTMX,7
14,zfp,2.55,PRECTMX,8
18,zfp,1.84,PRECTMX,9
16,zfp,2.14,PRECTMX,10
16,zfp,2.14,PRECTMX,11
24,zfp,1.45,PSL,0
24,zfp,1.45,PSL,1
22,zfp,1.73,PSL,2
22,zfp,1.73,PSL,3
24,zfp,1.45,PSL,4
24,zfp,1.45,PSL,5
24,zfp,1.45,PSL,6
24,zfp,1.45,PSL,7
24,zfp,1.45,PSL,8
24,zfp,1.45,PSL,9
24,zfp,1.45,PSL,10
24,zfp,1.45,PSL,11
16,zfp,2.42,Q200,0
16,zfp,2.42,Q200,1
16,zfp,2.42,Q200,2
16,zfp,2.42,Q200,3
18,zfp,2.01,Q200,4
16,zfp,2.42,Q200,5
16,zfp,2.42,Q200,6
18,zfp,2.01,Q200,7
18,zfp,2.01,Q200,8
18,zfp,2.01,Q200,9
16,zfp,2.42,Q200,10
18,zfp,2.01,Q200,11
16,zfp,2.33,Q500,0
16,zfp,2.33,Q500,1
16,zfp,2.33,Q500,2
16,zfp,2.33,Q500,3
16,zfp,2.33,Q500,4
16,zfp,2.33,Q500,5
16,zfp,2.33,Q500,6
16,zfp,2.33,Q500,7
16,zfp,2.33,Q500,8
16,zfp,2.33,Q500,9
16,zfp,2.33,Q500,10
16,zfp,2.33,Q500,11
16,zfp,2.33,Q850,0
16,zfp,2.33,Q850,1
16,zfp,2.33,Q850,2
16,zfp,2.33,Q850,3
16,zfp,2.33,Q850,4
16,zfp,2.33,Q850,5
16,zfp,2.33,Q850,6
16,zfp,2.33,Q850,7
16,zfp,2.33,Q850,8
16,zfp,2.33,Q850,9
16,zfp,2.33,Q850,10
14,zfp,2.88,Q850,11
16,zfp,2.33,QBOT,0
16,zfp,2.33,QBOT,1
16,zfp,2.33,QBOT,2
16,zfp,2.33,QBOT,3
16,zfp,2.33,QBOT,4
16,zfp,2.33,QBOT,5
16,zfp,2.33,QBOT,6
16,zfp,2.33,QBOT,7
16,zfp,2.33,QBOT,8
16,zfp,2.33,QBOT,9
16,zfp,2.33,QBOT,10
16,zfp,2.33,QBOT,11
16,zfp,2.19,SHFLX,0
16,zfp,2.19,SHFLX,1
16,zfp,2.19,SHFLX,2
16,zfp,2.19,SHFLX,3
16,zfp,2.19,SHFLX,4
16,zfp,2.19,SHFLX,5
16,zfp,2.19,SHFLX,6
16,zfp,2.19,SHFLX,7
16,zfp,2.19,SHFLX,8
16,zfp,2.19,SHFLX,9
16,zfp,2.19,SHFLX,10
16,zfp,2.19,SHFLX,11
0,zfp,2.19,SRF,0
0,zfp,2.19,SRF,1
0,zfp,2.19,SRF,2
0,zfp,2.19,SRF,3
0,zfp,2.19,SRF,4
0,zfp,2.19,SRF,5
0,zfp,2.19,SRF,6
0,zfp,2.19,SRF,7
0,zfp,2.19,SRF,8
0,zfp,2.19,SRF,9
0,zfp,2.19,SRF,10
0,zfp,2.19,SRF,11
22,zfp,2.03,T010,0
22,zfp,2.03,T010,1
22,zfp,2.03,T010,2
22,zfp,2.03,T010,3
24,zfp,1.63,T010,4
22,zfp,2.03,T010,5
24,zfp,1.63,T010,6
22,zfp,2.03,T010,7
22,zfp,2.03,T010,8
22,zfp,2.03,T010,9
22,zfp,2.03,T010,10
22,zfp,2.03,T010,11
20,zfp,1.99,T200,0
20,zfp,1.99,T200,1
20,zfp,1.99,T200,2
22,zfp,1.63,T200,3
20,zfp,1.99,T200,4
20,zfp,1.99,T200,5
22,zfp,1.63,T200,6
20,zfp,1.99,T200,7
22,zfp,1.63,T200,8
22,zfp,1.63,T200,9
22,zfp,1.63,T200,10
20,zfp,1.99,T200,11
22,zfp,1.64,T500,0
22,zfp,1.64,T500,1
22,zfp,1.64,T500,2
22,zfp,1.64,T500,3
22,zfp,1.64,T500,4
22,zfp,1.64,T500,5
22,zfp,1.64,T500,6
22,zfp,1.64,T500,7
22,zfp,1.64,T500,8
22,zfp,1.64,T500,9
22,zfp,1.64,T500,10
22,zfp,1.64,T500,11
22,zfp,1.56,T850,0
22,zfp,1.56,T850,1
22,zfp,1.56,T850,2
22,zfp,1.56,T850,3
22,zfp,1.56,T850,4
22,zfp,1.56,T850,5
22,zfp,1.56,T850,6
22,zfp,1.56,T850,7
22,zfp,1.56,T850,8
22,zfp,1.56,T850,9
22,zfp,1.56,T850,10
22,zfp,1.56,T850,11
16,zfp,2.30,TAUX,0
14,zfp,2.79,TAUX,1
14,zfp,2.79,TAUX,2
16,zfp,2.30,TAUX,3
14,zfp,2.79,TAUX,4
16,zfp,2.30,TAUX,5
14,zfp,2.79,TAUX,6
14,zfp,2.79,TAUX,7
14,zfp,2.79,TAUX,8
14,zfp,2.79,TAUX,9
14,zfp,2.79,TAUX,10
14,zfp,2.79,TAUX,11
16,zfp,2.29,TAUY,0
14,zfp,2.77,TAUY,1
14,zfp,2.77,TAUY,2
14,zfp,2.77,TAUY,3
14,zfp,2.77,TAUY,4
14,zfp,2.77,TAUY,5
14,zfp,2.77,TAUY,6
14,zfp,2.77,TAUY,7
14,zfp,2.77,TAUY,8
16,zfp,2.29,TAUY,9
14,zfp,2.77,TAUY,10
14,zfp,2.77,TAUY,11
16,zfp,2.43,TMQ,0
16,zfp,2.43,TMQ,1
16,zfp,2.43,TMQ,2
16,zfp,2.43,TMQ,3
16,zfp,2.43,TMQ,4
16,zfp,2.43,TMQ,5
16,zfp,2.43,TMQ,6
16,zfp,2.43,TMQ,7
16,zfp,2.43,TMQ,8
16,zfp,2.43,TMQ,9
16,zfp,2.43,TMQ,10
16,zfp,2.43,TMQ,11
5,bg,1.76,TREFHT,0
22,zfp,1.57,TREFHT,1
22,zfp,1.57,TREFHT,2
22,zfp,1.57,TREFHT,3
22,zfp,1.57,TREFHT,4
22,zfp,1.57,TREFHT,5
22,zfp,1.57,TREFHT,6
22,zfp,1.57,TREFHT,7
22,zfp,1.57,TREFHT,8
22,zfp,1.57,TREFHT,9
22,zfp,1.57,TREFHT,10
22,zfp,1.57,TREFHT,11
5,bg,1.74,TREFHTMN,0
22,zfp,1.52,TREFHTMN,1
20,zfp,1.81,TREFHTMN,2
22,zfp,1.52,TREFHTMN,3
5,bg,1.74,TREFHTMN,4
22,zfp,1.52,TREFHTMN,5
22,zfp,1.52,TREFHTMN,6
22,zfp,1.52,TREFHTMN,7
20,zfp,1.81,TREFHTMN,8
22,zfp,1.52,TREFHTMN,9
22,zfp,1.52,TREFHTMN,10
22,zfp,1.52,TREFHTMN,11
5,bg,1.75,TREFHTMX,0
22,zfp,1.53,TREFHTMX,1
22,zfp,1.53,TREFHTMX,2
22,zfp,1.53,TREFHTMX,3
22,zfp,1.53,TREFHTMX,4
22,zfp,1.53,TREFHTMX,5
22,zfp,1.53,TREFHTMX,6
22,zfp,1.53,TREFHTMX,7
22,zfp,1.53,TREFHTMX,8
22,zfp,1.53,TREFHTMX,9
22,zfp,1.53,TREFHTMX,10
22,zfp,1.53,TREFHTMX,11
22,zfp,1.58,TS,0
22,zfp,1.58,TS,1
22,zfp,1.58,TS,2
22,zfp,1.58,TS,3
22,zfp,1.58,TS,4
22,zfp,1.58,TS,5
22,zfp,1.58,TS,6
22,zfp,1.58,TS,7
22,zfp,1.58,TS,8
22,zfp,1.58,TS,9
22,zfp,1.58,TS,10
22,zfp,1.58,TS,11
18,zfp,2.52,U010,0
18,zfp,2.52,U010,1
16,zfp,3.20,U010,2
16,zfp,3.20,U010,3
18,zfp,2.52,U010,4
18,zfp,2.52,U010,5
18,zfp,2.52,U010,6
18,zfp,2.52,U010,7
18,zfp,2.52,U010,8
16,zfp,3.20,U010,9
16,zfp,3.20,U010,10
16,zfp,3.20,U010,11
14,zfp,3.44,U200,0
14,zfp,3.44,U200,1
14,zfp,3.44,U200,2
14,zfp,3.44,U200,3
14,zfp,3.44,U200,4
14,zfp,3.44,U200,5
14,zfp,3.44,U200,6
14,zfp,3.44,U200,7
14,zfp,3.44,U200,8
14,zfp,3.44,U200,9
14,zfp,3.44,U200,10
14,zfp,3.44,U200,11
14,zfp,3.17,U500,0
14,zfp,3.17,U500,1
14,zfp,3.17,U500,2
14,zfp,3.17,U500,3
14,zfp,3.17,U500,4
14,zfp,3.17,U500,5
14,zfp,3.17,U500,6
14,zfp,3.17,U500,7
14,zfp,3.17,U500,8
14,zfp,3.17,U500,9
14,zfp,3.17,U500,10
14,zfp,3.17,U500,11
14,zfp,2.96,U850,0
14,zfp,2.96,U850,1
14,zfp,2.96,U850,2
14,zfp,2.96,U850,3
14,zfp,2.96,U850,4
14,zfp,2.96,U850,5
14,zfp,2.96,U850,6
14,zfp,2.96,U850,7
14,zfp,2.96,U850,8
14,zfp,2.96,U850,9
14,zfp,2.96,U850,10
14,zfp,2.96,U850,11
14,zfp,2.86,VBOT,0
14,zfp,2.86,VBOT,1
14,zfp,2.86,VBOT,2
14,zfp,2.86,VBOT,3
14,zfp,2.86,VBOT,4
14,zfp,2.86,VBOT,5
14,zfp,2.86,VBOT,6
14,zfp,2.86,VBOT,7
14,zfp,2.86,VBOT,8
14,zfp,2.86,VBOT,9
14,zfp,2.86,VBOT,10
14,zfp,2.86,VBOT,11
14,zfp,2.87,WSPDSRFAV,0
14,zfp,2.87,WSPDSRFAV,1
14,zfp,2.87,WSPDSRFAV,2
14,zfp,2.87,WSPDSRFAV,3
14,zfp,2.87,WSPDSRFAV,4
14,zfp,2.87,WSPDSRFAV,5
14,zfp,2.87,WSPDSRFAV,6
14,zfp,2.87,WSPDSRFAV,7
14,zfp,2.87,WSPDSRFAV,8
14,zfp,2.87,WSPDSRFAV,9
14,zfp,2.87,WSPDSRFAV,10
14,zfp,2.87,WSPDSRFAV,11
24,zfp,1.63,Z050,0
-1,zfp,1.00,Z050,1
-1,zfp,1.00,Z050,2
-1,zfp,1.00,Z050,3
-1,zfp,1.00,Z050,4
24,zfp,1.63,Z050,5
-1,zfp,1.00,Z050,6
-1,zfp,1.00,Z050,7
-1,zfp,1.00,Z050,8
-1,zfp,1.00,Z050,9
24,zfp,1.63,Z050,10
-1,zfp,1.00,Z050,11
22,zfp,1.76,Z500,0
22,zfp,1.76,Z500,1
24,zfp,1.47,Z500,2
22,zfp,1.76,Z500,3
24,zfp,1.47,Z500,4
24,zfp,1.47,Z500,5
24,zfp,1.47,Z500,6
24,zfp,1.47,Z500,7
24,zfp,1.47,Z500,8
24,zfp,1.47,Z500,9
22,zfp,1.76,Z500,10
24,zfp,1.47,Z500,11
