levels,algs,ratios,variable,times
0.005,sz,21.79,soa_a2_SRF,44
0.005,sz,21.79,soa_a2_SRF,45
0.005,sz,21.79,soa_a2_SRF,46
0.005,sz,21.79,soa_a2_SRF,47
0.001,sz,11.14,soa_a2_SRF,48
0.001,sz,11.14,soa_a2_SRF,49
0.005,sz,21.79,soa_a2_SRF,50
0.001,sz,11.14,soa_a2_SRF,51
0.005,sz,21.79,soa_a2_SRF,52
0.001,sz,11.14,soa_a2_SRF,53
0.005,sz,21.79,soa_a2_SRF,54
0.005,sz,21.79,soa_a2_SRF,55
0.005,sz,21.79,soa_a2_SRF,56
0.01,sz,29.55,soa_a2_SRF,57
0.01,sz,29.55,soa_a2_SRF,58
0.005,sz,21.79,soa_a2_SRF,59
0.005,sz,21.79,soa_a2_SRF,60
0.005,sz,21.79,soa_a2_SRF,61
0.001,sz,11.14,soa_a2_SRF,62
0.005,sz,21.79,soa_a2_SRF,63
0.001,sz,11.14,soa_a2_SRF,64
0.005,sz,21.79,soa_a2_SRF,65
0.005,sz,21.79,soa_a2_SRF,66
0.005,sz,21.79,soa_a2_SRF,67
0.005,sz,21.79,soa_a2_SRF,68
0.005,sz,21.79,soa_a2_SRF,69
0.005,sz,21.79,soa_a2_SRF,70
0.01,sz,29.55,soa_a2_SRF,71
0.005,sz,21.79,soa_a2_SRF,72
0.005,sz,21.79,soa_a2_SRF,73
0.001,sz,11.14,soa_a2_SRF,74
0.001,sz,11.14,soa_a2_SRF,75
0.001,sz,11.14,soa_a2_SRF,76
0.0001,sz,4.86,soa_a2_SRF,77
0.005,sz,21.79,soa_a2_SRF,78
0.005,sz,21.79,soa_a2_SRF,79
0.005,sz,21.79,soa_a2_SRF,80
0.005,sz,21.79,soa_a2_SRF,81
0.005,sz,21.79,soa_a2_SRF,82
0.01,sz,29.55,soa_a2_SRF,83
0.01,sz,29.55,soa_a2_SRF,84
0.005,sz,21.79,soa_a2_SRF,85
0.005,sz,21.79,soa_a2_SRF,86
0.0001,sz,4.86,soa_a2_SRF,87
0.0001,sz,4.86,soa_a2_SRF,88
0.005,sz,21.79,soa_a2_SRF,89
0.001,sz,11.14,soa_a2_SRF,90
0.005,sz,21.79,soa_a2_SRF,91
0.005,sz,21.79,soa_a2_SRF,92
0.005,sz,21.79,soa_a2_SRF,93
0.005,sz,21.79,soa_a2_SRF,94
0.005,sz,21.79,soa_a2_SRF,95
0.01,sz,29.55,soa_a2_SRF,96
0.005,sz,21.79,soa_a2_SRF,97
0.005,sz,21.79,soa_a2_SRF,98
0.0001,sz,4.86,soa_a2_SRF,99
,,,,0
,,,,1
,,,,2
,,,,3
,,,,4
,,,,5
,,,,6
,,,,7
,,,,8
,,,,9
,,,,10
,,,,11
,,,,12
,,,,13
,,,,14
,,,,15
,,,,16
,,,,17
,,,,18
,,,,19
,,,,20
,,,,21
,,,,22
,,,,23
,,,,24
,,,,25
,,,,26
,,,,27
,,,,28
,,,,29
,,,,30
,,,,31
,,,,32
,,,,33
,,,,34
,,,,35
,,,,36
,,,,37
,,,,38
,,,,39
,,,,40
,,,,41
,,,,42
,,,,43
,,,,44
,,,,45
,,,,46
,,,,47
,,,,48
,,,,49
,,,,50
,,,,51
,,,,52
,,,,53
,,,,54
,,,,55
,,,,56
,,,,57
,,,,58
,,,,59
,,,,60
,,,,61
,,,,62
,,,,63
,,,,64
,,,,65
,,,,66
,,,,67
,,,,68
,,,,69
,,,,70
,,,,71
,,,,72
,,,,73
,,,,74
,,,,75
,,,,76
,,,,77
,,,,78
,,,,79
,,,,80
,,,,81
,,,,82
,,,,83
,,,,84
,,,,85
,,,,86
,,,,87
,,,,88
,,,,89
,,,,90
,,,,91
,,,,92
,,,,93
,,,,94
,,,,95
,,,,96
,,,,97
,,,,98
,,,,99
0.0001,sz,2.91,TGCLDLWP,0
0.0001,sz,2.91,TGCLDLWP,1
0.005,sz,11.75,TGCLDLWP,2
0.005,sz,11.75,TGCLDLWP,3
0.0001,sz,2.91,TGCLDLWP,4
0.0001,sz,2.91,TGCLDLWP,5
0.0001,sz,2.91,TGCLDLWP,6
0.0001,sz,2.91,TGCLDLWP,7
0.0001,sz,2.91,TGCLDLWP,8
0.0001,sz,2.91,TGCLDLWP,9
0.0001,sz,2.91,TGCLDLWP,10
0.0001,sz,2.91,TGCLDLWP,11
0.005,sz,11.75,TGCLDLWP,12
0.0001,sz,2.91,TGCLDLWP,13
0.0001,sz,2.91,TGCLDLWP,14
0.0001,sz,2.91,TGCLDLWP,15
0.0001,sz,2.91,TGCLDLWP,16
0.005,sz,11.75,TGCLDLWP,17
0.0001,sz,2.91,TGCLDLWP,18
0.005,sz,11.75,TGCLDLWP,19
0.005,sz,11.75,TGCLDLWP,20
0.0001,sz,2.91,TGCLDLWP,21
0.0001,sz,2.91,TGCLDLWP,22
0.0001,sz,2.91,TGCLDLWP,23
0.0001,sz,2.91,TGCLDLWP,24
0.0001,sz,2.91,TGCLDLWP,25
0.0001,sz,2.91,TGCLDLWP,26
0.0001,sz,2.91,TGCLDLWP,27
0.0001,sz,2.91,TGCLDLWP,28
0.0001,sz,2.91,TGCLDLWP,29
0.0001,sz,2.91,TGCLDLWP,30
0.005,sz,11.75,TGCLDLWP,31
0.0001,sz,2.91,TGCLDLWP,32
0.0001,sz,2.91,TGCLDLWP,33
0.0001,sz,2.91,TGCLDLWP,34
0.0001,sz,2.91,TGCLDLWP,35
0.0001,sz,2.91,TGCLDLWP,36
0.0001,sz,2.91,TGCLDLWP,37
0.005,sz,11.75,TGCLDLWP,38
0.005,sz,11.75,TGCLDLWP,39
0.0001,sz,2.91,TGCLDLWP,40
0.0001,sz,2.91,TGCLDLWP,41
0.0001,sz,2.91,TGCLDLWP,42
0.0001,sz,2.91,TGCLDLWP,43
0.0001,sz,2.91,TGCLDLWP,44
0.0001,sz,2.91,TGCLDLWP,45
0.0001,sz,2.91,TGCLDLWP,46
0.0001,sz,2.91,TGCLDLWP,47
0.0001,sz,2.91,TGCLDLWP,48
0.0001,sz,2.91,TGCLDLWP,49
0.0001,sz,2.91,TGCLDLWP,50
0.0001,sz,2.91,TGCLDLWP,51
0.0001,sz,2.91,TGCLDLWP,52
0.0001,sz,2.91,TGCLDLWP,53
0.005,sz,11.75,TGCLDLWP,54
0.0001,sz,2.91,TGCLDLWP,55
0.0001,sz,2.91,TGCLDLWP,56
0.0001,sz,2.91,TGCLDLWP,57
0.0001,sz,2.91,TGCLDLWP,58
0.005,sz,11.75,TGCLDLWP,59
0.0001,sz,2.91,TGCLDLWP,60
0.0001,sz,2.91,TGCLDLWP,61
0.0001,sz,2.91,TGCLDLWP,62
0.0001,sz,2.91,TGCLDLWP,63
0.0001,sz,2.91,TGCLDLWP,64
0.0001,sz,2.91,TGCLDLWP,65
0.0001,sz,2.91,TGCLDLWP,66
0.0001,sz,2.91,TGCLDLWP,67
0.005,sz,11.75,TGCLDLWP,68
0.0001,sz,2.91,TGCLDLWP,69
0.0001,sz,2.91,TGCLDLWP,70
0.005,sz,11.75,TGCLDLWP,71
0.0001,sz,2.91,TGCLDLWP,72
0.0001,sz,2.91,TGCLDLWP,73
0.0001,sz,2.91,TGCLDLWP,74
0.0001,sz,2.91,TGCLDLWP,75
0.0001,sz,2.91,TGCLDLWP,76
0.0001,sz,2.91,TGCLDLWP,77
0.0001,sz,2.91,TGCLDLWP,78
0.0001,sz,2.91,TGCLDLWP,79
0.005,sz,11.75,TGCLDLWP,80
0.0001,sz,2.91,TGCLDLWP,81
0.0001,sz,2.91,TGCLDLWP,82
0.0001,sz,2.91,TGCLDLWP,83
0.0001,sz,2.91,TGCLDLWP,84
0.005,sz,11.75,TGCLDLWP,85
0.0001,sz,2.91,TGCLDLWP,86
0.0001,sz,2.91,TGCLDLWP,87
0.0001,sz,2.91,TGCLDLWP,88
0.0001,sz,2.91,TGCLDLWP,89
0.0001,sz,2.91,TGCLDLWP,90
0.0001,sz,2.91,TGCLDLWP,91
0.0001,sz,2.91,TGCLDLWP,92
0.0001,sz,2.91,TGCLDLWP,93
0.0001,sz,2.91,TGCLDLWP,94
0.005,sz,11.75,TGCLDLWP,95
0.005,sz,11.75,TGCLDLWP,96
0.0001,sz,2.91,TGCLDLWP,97
0.005,sz,11.75,TGCLDLWP,98
0.0001,sz,2.91,TGCLDLWP,99
0.001,sz,6.86,PRECL,0
0.001,sz,6.86,PRECL,1
0.005,sz,15.05,PRECL,2
0.0001,sz,3.23,PRECL,3
0.001,sz,6.86,PRECL,4
0.001,sz,6.86,PRECL,5
0.001,sz,6.86,PRECL,6
0.005,sz,15.05,PRECL,7
0.001,sz,6.86,PRECL,8
0.001,sz,6.86,PRECL,9
0.001,sz,6.86,PRECL,10
0.0001,sz,3.23,PRECL,11
0.0001,sz,3.23,PRECL,12
0.001,sz,6.86,PRECL,13
0.005,sz,15.05,PRECL,14
0.005,sz,15.05,PRECL,15
0.0001,sz,3.23,PRECL,16
0.001,sz,6.86,PRECL,17
0.0001,sz,3.23,PRECL,18
0.001,sz,6.86,PRECL,19
0.001,sz,6.86,PRECL,20
0.001,sz,6.86,PRECL,21
0.001,sz,6.86,PRECL,22
0.001,sz,6.86,PRECL,23
0.001,sz,6.86,PRECL,24
0.001,sz,6.86,PRECL,25
0.001,sz,6.86,PRECL,26
0.001,sz,6.86,PRECL,27
0.001,sz,6.86,PRECL,28
0.0001,sz,3.23,PRECL,29
0.001,sz,6.86,PRECL,30
0.001,sz,6.86,PRECL,31
0.001,sz,6.86,PRECL,32
0.001,sz,6.86,PRECL,33
0.001,sz,6.86,PRECL,34
0.0001,sz,3.23,PRECL,35
0.001,sz,6.86,PRECL,36
0.001,sz,6.86,PRECL,37
0.0001,sz,3.23,PRECL,38
0.0001,sz,3.23,PRECL,39
0.001,sz,6.86,PRECL,40
0.001,sz,6.86,PRECL,41
0.001,sz,6.86,PRECL,42
0.0001,sz,3.23,PRECL,43
0.001,sz,6.86,PRECL,44
0.001,sz,6.86,PRECL,45
0.001,sz,6.86,PRECL,46
0.001,sz,6.86,PRECL,47
0.001,sz,6.86,PRECL,48
0.0001,sz,3.23,PRECL,49
0.001,sz,6.86,PRECL,50
0.0001,sz,3.23,PRECL,51
0.005,sz,15.05,PRECL,52
0.001,sz,6.86,PRECL,53
0.0001,sz,3.23,PRECL,54
0.001,sz,6.86,PRECL,55
0.001,sz,6.86,PRECL,56
0.001,sz,6.86,PRECL,57
0.001,sz,6.86,PRECL,58
0.005,sz,15.05,PRECL,59
0.001,sz,6.86,PRECL,60
0.001,sz,6.86,PRECL,61
0.001,sz,6.86,PRECL,62
0.0001,sz,3.23,PRECL,63
0.0005,sz,5.31,PRECL,64
0.0005,sz,5.31,PRECL,65
0.005,sz,15.05,PRECL,66
0.001,sz,6.86,PRECL,67
0.005,sz,15.05,PRECL,68
0.005,sz,15.05,PRECL,69
0.0001,sz,3.23,PRECL,70
0.0001,sz,3.23,PRECL,71
0.001,sz,6.86,PRECL,72
0.001,sz,6.86,PRECL,73
0.001,sz,6.86,PRECL,74
0.001,sz,6.86,PRECL,75
0.001,sz,6.86,PRECL,76
0.001,sz,6.86,PRECL,77
0.001,sz,6.86,PRECL,78
0.001,sz,6.86,PRECL,79
0.005,sz,15.05,PRECL,80
0.001,sz,6.86,PRECL,81
0.001,sz,6.86,PRECL,82
0.001,sz,6.86,PRECL,83
0.0001,sz,3.23,PRECL,84
0.001,sz,6.86,PRECL,85
0.0005,sz,5.31,PRECL,86
0.0005,sz,5.31,PRECL,87
0.001,sz,6.86,PRECL,88
0.0001,sz,3.23,PRECL,89
0.001,sz,6.86,PRECL,90
0.001,sz,6.86,PRECL,91
0.001,sz,6.86,PRECL,92
0.0001,sz,3.23,PRECL,93
0.005,sz,15.05,PRECL,94
0.005,sz,15.05,PRECL,95
0.001,sz,6.86,PRECL,96
0.001,sz,6.86,PRECL,97
0.001,sz,6.86,PRECL,98
0.0001,sz,3.23,PRECL,99
0.005,sz,24.78,soa_a1_SRF,0
0.01,sz,33.61,soa_a1_SRF,1
0.01,sz,33.61,soa_a1_SRF,2
0.005,sz,24.78,soa_a1_SRF,3
0.005,sz,24.78,soa_a1_SRF,4
0.01,sz,33.61,soa_a1_SRF,5
0.005,sz,24.78,soa_a1_SRF,6
0.005,sz,24.78,soa_a1_SRF,7
0.01,sz,33.61,soa_a1_SRF,8
0.005,sz,24.78,soa_a1_SRF,9
0.005,sz,24.78,soa_a1_SRF,10
0.005,sz,24.78,soa_a1_SRF,11
0.005,sz,24.78,soa_a1_SRF,12
0.005,sz,24.78,soa_a1_SRF,13
0.01,sz,33.61,soa_a1_SRF,14
0.01,sz,33.61,soa_a1_SRF,15
0.005,sz,24.78,soa_a1_SRF,16
0.005,sz,24.78,soa_a1_SRF,17
0.005,sz,24.78,soa_a1_SRF,18
0.01,sz,33.61,soa_a1_SRF,19
0.005,sz,24.78,soa_a1_SRF,20
0.005,sz,24.78,soa_a1_SRF,21
0.01,sz,33.61,soa_a1_SRF,22
0.01,sz,33.61,soa_a1_SRF,23
0.005,sz,24.78,soa_a1_SRF,24
0.005,sz,24.78,soa_a1_SRF,25
0.005,sz,24.78,soa_a1_SRF,26
0.01,sz,33.61,soa_a1_SRF,27
0.01,sz,33.61,soa_a1_SRF,28
0.005,sz,24.78,soa_a1_SRF,29
0.01,sz,33.61,soa_a1_SRF,30
0.005,sz,24.78,soa_a1_SRF,31
0.01,sz,33.61,soa_a1_SRF,32
0.005,sz,24.78,soa_a1_SRF,33
0.005,sz,24.78,soa_a1_SRF,34
0.005,sz,24.78,soa_a1_SRF,35
0.01,sz,33.61,soa_a1_SRF,36
0.005,sz,24.78,soa_a1_SRF,37
0.005,sz,24.78,soa_a1_SRF,38
0.01,sz,33.61,soa_a1_SRF,39
0.01,sz,33.61,soa_a1_SRF,40
0.01,sz,33.61,soa_a1_SRF,41
0.005,sz,24.78,soa_a1_SRF,42
0.005,sz,24.78,soa_a1_SRF,43
0.005,sz,24.78,soa_a1_SRF,44
0.01,sz,33.61,soa_a1_SRF,45
0.01,sz,33.61,soa_a1_SRF,46
0.005,sz,24.78,soa_a1_SRF,47
0.005,sz,24.78,soa_a1_SRF,48
0.005,sz,24.78,soa_a1_SRF,49
0.005,sz,24.78,soa_a1_SRF,50
0.005,sz,24.78,soa_a1_SRF,51
0.005,sz,24.78,soa_a1_SRF,52
0.01,sz,33.61,soa_a1_SRF,53
0.01,sz,33.61,soa_a1_SRF,54
0.01,sz,33.61,soa_a1_SRF,55
0.005,sz,24.78,soa_a1_SRF,56
0.005,sz,24.78,soa_a1_SRF,57
0.005,sz,24.78,soa_a1_SRF,58
0.005,sz,24.78,soa_a1_SRF,59
0.005,sz,24.78,soa_a1_SRF,60
0.005,sz,24.78,soa_a1_SRF,61
0.005,sz,24.78,soa_a1_SRF,62
0.005,sz,24.78,soa_a1_SRF,63
0.005,sz,24.78,soa_a1_SRF,64
0.005,sz,24.78,soa_a1_SRF,65
0.01,sz,33.61,soa_a1_SRF,66
0.005,sz,24.78,soa_a1_SRF,67
0.01,sz,33.61,soa_a1_SRF,68
0.0001,sz,5.48,soa_a1_SRF,69
0.01,sz,33.61,soa_a1_SRF,70
0.0001,sz,5.48,soa_a1_SRF,71
0.005,sz,24.78,soa_a1_SRF,72
0.005,sz,24.78,soa_a1_SRF,73
0.005,sz,24.78,soa_a1_SRF,74
0.005,sz,24.78,soa_a1_SRF,75
0.005,sz,24.78,soa_a1_SRF,76
0.005,sz,24.78,soa_a1_SRF,77
0.005,sz,24.78,soa_a1_SRF,78
0.005,sz,24.78,soa_a1_SRF,79
0.01,sz,33.61,soa_a1_SRF,80
0.01,sz,33.61,soa_a1_SRF,81
0.01,sz,33.61,soa_a1_SRF,82
0.01,sz,33.61,soa_a1_SRF,83
0.005,sz,24.78,soa_a1_SRF,84
0.01,sz,33.61,soa_a1_SRF,85
0.01,sz,33.61,soa_a1_SRF,86
0.005,sz,24.78,soa_a1_SRF,87
0.005,sz,24.78,soa_a1_SRF,88
0.01,sz,33.61,soa_a1_SRF,89
0.005,sz,24.78,soa_a1_SRF,90
0.005,sz,24.78,soa_a1_SRF,91
0.005,sz,24.78,soa_a1_SRF,92
0.01,sz,33.61,soa_a1_SRF,93
0.005,sz,24.78,soa_a1_SRF,94
0.005,sz,24.78,soa_a1_SRF,95
0.01,sz,33.61,soa_a1_SRF,96
0.01,sz,33.61,soa_a1_SRF,97
0.01,sz,33.61,soa_a1_SRF,98
0.005,sz,24.78,soa_a1_SRF,99
0.001,sz,5.49,SHFLX,0
0.0001,sz,2.64,SHFLX,1
0.0001,sz,2.64,SHFLX,2
0.0001,sz,2.64,SHFLX,3
0.005,sz,10.94,SHFLX,4
0.001,sz,5.49,SHFLX,5
0.0001,sz,2.64,SHFLX,6
0.0001,sz,2.64,SHFLX,7
0.0001,sz,2.64,SHFLX,8
0.0001,sz,2.64,SHFLX,9
0.0001,sz,2.64,SHFLX,10
0.0001,sz,2.64,SHFLX,11
0.0001,sz,2.64,SHFLX,12
0.0001,sz,2.64,SHFLX,13
0.0001,sz,2.64,SHFLX,14
0.0001,sz,2.64,SHFLX,15
0.0001,sz,2.64,SHFLX,16
0.0001,sz,2.64,SHFLX,17
0.0001,sz,2.64,SHFLX,18
0.0001,sz,2.64,SHFLX,19
0.0001,sz,2.64,SHFLX,20
0.0001,sz,2.64,SHFLX,21
0.0001,sz,2.64,SHFLX,22
0.0001,sz,2.64,SHFLX,23
0.0001,sz,2.64,SHFLX,24
0.0001,sz,2.64,SHFLX,25
0.0001,sz,2.64,SHFLX,26
0.0001,sz,2.64,SHFLX,27
0.0001,sz,2.64,SHFLX,28
0.005,sz,10.94,SHFLX,29
0.001,sz,5.49,SHFLX,30
0.001,sz,5.49,SHFLX,31
0.0001,sz,2.64,SHFLX,32
0.0001,sz,2.64,SHFLX,33
0.0001,sz,2.64,SHFLX,34
0.0001,sz,2.64,SHFLX,35
0.0001,sz,2.64,SHFLX,36
0.0001,sz,2.64,SHFLX,37
0.0001,sz,2.64,SHFLX,38
0.0001,sz,2.64,SHFLX,39
0.0001,sz,2.64,SHFLX,40
0.0001,sz,2.64,SHFLX,41
0.0001,sz,2.64,SHFLX,42
0.001,sz,5.49,SHFLX,43
0.001,sz,5.49,SHFLX,44
0.0001,sz,2.64,SHFLX,45
0.0001,sz,2.64,SHFLX,46
0.0001,sz,2.64,SHFLX,47
0.0001,sz,2.64,SHFLX,48
0.001,sz,5.49,SHFLX,49
0.0001,sz,2.64,SHFLX,50
0.005,sz,10.94,SHFLX,51
0.0001,sz,2.64,SHFLX,52
0.0001,sz,2.64,SHFLX,53
0.0001,sz,2.64,SHFLX,54
0.0001,sz,2.64,SHFLX,55
0.0001,sz,2.64,SHFLX,56
0.001,sz,5.49,SHFLX,57
0.005,sz,10.94,SHFLX,58
0.0001,sz,2.64,SHFLX,59
0.0001,sz,2.64,SHFLX,60
0.0001,sz,2.64,SHFLX,61
0.0001,sz,2.64,SHFLX,62
0.0001,sz,2.64,SHFLX,63
0.0001,sz,2.64,SHFLX,64
0.0001,sz,2.64,SHFLX,65
0.0001,sz,2.64,SHFLX,66
0.0001,sz,2.64,SHFLX,67
0.0001,sz,2.64,SHFLX,68
0.0001,sz,2.64,SHFLX,69
0.001,sz,5.49,SHFLX,70
0.0001,sz,2.64,SHFLX,71
0.0001,sz,2.64,SHFLX,72
0.0001,sz,2.64,SHFLX,73
0.0001,sz,2.64,SHFLX,74
0.001,sz,5.49,SHFLX,75
0.0001,sz,2.64,SHFLX,76
0.0001,sz,2.64,SHFLX,77
0.0001,sz,2.64,SHFLX,78
0.0001,sz,2.64,SHFLX,79
0.0001,sz,2.64,SHFLX,80
0.0001,sz,2.64,SHFLX,81
0.0001,sz,2.64,SHFLX,82
0.001,sz,5.49,SHFLX,83
0.001,sz,5.49,SHFLX,84
0.0001,sz,2.64,SHFLX,85
0.0001,sz,2.64,SHFLX,86
0.0001,sz,2.64,SHFLX,87
0.0001,sz,2.64,SHFLX,88
0.0001,sz,2.64,SHFLX,89
0.0001,sz,2.64,SHFLX,90
0.0001,sz,2.64,SHFLX,91
0.0001,sz,2.64,SHFLX,92
0.0001,sz,2.64,SHFLX,93
0.0001,sz,2.64,SHFLX,94
0.0001,sz,2.64,SHFLX,95
0.0001,sz,2.64,SHFLX,96
0.001,sz,5.49,SHFLX,97
0.0001,sz,2.64,SHFLX,98
0.0001,sz,2.64,SHFLX,99
0.0001,sz,15.76,dst_a3_SRF,0
0.0001,sz,15.76,dst_a3_SRF,1
0.0005,sz,27.47,dst_a3_SRF,2
0.001,sz,34.76,dst_a3_SRF,3
0.0001,sz,15.76,dst_a3_SRF,4
0.0001,sz,15.76,dst_a3_SRF,5
0.001,sz,34.76,dst_a3_SRF,6
0.001,sz,34.76,dst_a3_SRF,7
0.001,sz,34.76,dst_a3_SRF,8
0.001,sz,34.76,dst_a3_SRF,9
0.0001,sz,15.76,dst_a3_SRF,10
0.001,sz,34.76,dst_a3_SRF,11
0.0001,sz,15.76,dst_a3_SRF,12
0.0001,sz,15.76,dst_a3_SRF,13
0.001,sz,34.76,dst_a3_SRF,14
0.0001,sz,15.76,dst_a3_SRF,15
0.0001,sz,15.76,dst_a3_SRF,16
0.0001,sz,15.76,dst_a3_SRF,17
0.0001,sz,15.76,dst_a3_SRF,18
0.001,sz,34.76,dst_a3_SRF,19
0.0001,sz,15.76,dst_a3_SRF,20
16.0,zfp,2.27,dst_a3_SRF,21
0.0005,sz,27.47,dst_a3_SRF,22
0.001,sz,34.76,dst_a3_SRF,23
0.0005,sz,27.47,dst_a3_SRF,24
0.0001,sz,15.76,dst_a3_SRF,25
0.0001,sz,15.76,dst_a3_SRF,26
0.0001,sz,15.76,dst_a3_SRF,27
0.0001,sz,15.76,dst_a3_SRF,28
0.0001,sz,15.76,dst_a3_SRF,29
0.0001,sz,15.76,dst_a3_SRF,30
0.001,sz,34.76,dst_a3_SRF,31
0.0001,sz,15.76,dst_a3_SRF,32
0.001,sz,34.76,dst_a3_SRF,33
0.0001,sz,15.76,dst_a3_SRF,34
0.0005,sz,27.47,dst_a3_SRF,35
16.0,zfp,2.27,dst_a3_SRF,36
0.001,sz,34.76,dst_a3_SRF,37
0.0005,sz,27.47,dst_a3_SRF,38
0.0001,sz,15.76,dst_a3_SRF,39
0.0001,sz,15.76,dst_a3_SRF,40
0.0001,sz,15.76,dst_a3_SRF,41
0.0001,sz,15.76,dst_a3_SRF,42
0.0001,sz,15.76,dst_a3_SRF,43
0.0001,sz,15.76,dst_a3_SRF,44
0.0001,sz,15.76,dst_a3_SRF,45
0.0001,sz,15.76,dst_a3_SRF,46
0.0001,sz,15.76,dst_a3_SRF,47
0.001,sz,34.76,dst_a3_SRF,48
0.001,sz,34.76,dst_a3_SRF,49
0.0001,sz,15.76,dst_a3_SRF,50
0.0001,sz,15.76,dst_a3_SRF,51
0.0005,sz,27.47,dst_a3_SRF,52
0.0001,sz,15.76,dst_a3_SRF,53
0.0001,sz,15.76,dst_a3_SRF,54
0.001,sz,34.76,dst_a3_SRF,55
0.0005,sz,27.47,dst_a3_SRF,56
0.0001,sz,15.76,dst_a3_SRF,57
0.0001,sz,15.76,dst_a3_SRF,58
0.001,sz,34.76,dst_a3_SRF,59
0.0001,sz,15.76,dst_a3_SRF,60
0.0005,sz,27.47,dst_a3_SRF,61
16.0,zfp,2.27,dst_a3_SRF,62
0.001,sz,34.76,dst_a3_SRF,63
0.0001,sz,15.76,dst_a3_SRF,64
0.0005,sz,27.47,dst_a3_SRF,65
0.0001,sz,15.76,dst_a3_SRF,66
0.001,sz,34.76,dst_a3_SRF,67
0.0001,sz,15.76,dst_a3_SRF,68
0.0001,sz,15.76,dst_a3_SRF,69
0.0001,sz,15.76,dst_a3_SRF,70
0.0001,sz,15.76,dst_a3_SRF,71
0.001,sz,34.76,dst_a3_SRF,72
0.0001,sz,15.76,dst_a3_SRF,73
0.0001,sz,15.76,dst_a3_SRF,74
0.001,sz,34.76,dst_a3_SRF,75
0.001,sz,34.76,dst_a3_SRF,76
0.001,sz,34.76,dst_a3_SRF,77
0.0001,sz,15.76,dst_a3_SRF,78
0.0001,sz,15.76,dst_a3_SRF,79
0.0005,sz,27.47,dst_a3_SRF,80
0.001,sz,34.76,dst_a3_SRF,81
0.0001,sz,15.76,dst_a3_SRF,82
0.0001,sz,15.76,dst_a3_SRF,83
0.0001,sz,15.76,dst_a3_SRF,84
0.0001,sz,15.76,dst_a3_SRF,85
0.001,sz,34.76,dst_a3_SRF,86
0.001,sz,34.76,dst_a3_SRF,87
0.0005,sz,27.47,dst_a3_SRF,88
0.0001,sz,15.76,dst_a3_SRF,89
0.001,sz,34.76,dst_a3_SRF,90
0.001,sz,34.76,dst_a3_SRF,91
0.001,sz,34.76,dst_a3_SRF,92
0.001,sz,34.76,dst_a3_SRF,93
16.0,zfp,2.27,dst_a3_SRF,94
0.0001,sz,15.76,dst_a3_SRF,95
0.0001,sz,15.76,dst_a3_SRF,96
0.0001,sz,15.76,dst_a3_SRF,97
0.0001,sz,15.76,dst_a3_SRF,98
0.001,sz,34.76,dst_a3_SRF,99
0.001,sz,22.55,pom_a1_SRF,0
0.001,sz,22.55,pom_a1_SRF,1
0.001,sz,22.55,pom_a1_SRF,2
0.005,sz,44.67,pom_a1_SRF,3
0.001,sz,22.55,pom_a1_SRF,4
0.001,sz,22.55,pom_a1_SRF,5
0.001,sz,22.55,pom_a1_SRF,6
0.001,sz,22.55,pom_a1_SRF,7
0.001,sz,22.55,pom_a1_SRF,8
0.001,sz,22.55,pom_a1_SRF,9
0.001,sz,22.55,pom_a1_SRF,10
0.001,sz,22.55,pom_a1_SRF,11
0.001,sz,22.55,pom_a1_SRF,12
